run,seed,accuracy,precision,recall,early_stopping
0,375,0.8936,0.9089,0.8374,79
1,129,0.9358,0.9539,0.9299,132
2,440,0.9172,0.9316,0.8944,96
3,568,0.9341,0.9483,0.9131,99
4,192,0.902,0.9279,0.8895,87
5,275,0.9037,0.9205,0.8916,101
6,972,0.9189,0.9302,0.9022,78
7,883,0.9223,0.9295,0.8877,136
8,522,0.902,0.9231,0.8843,94
9,433,0.9088,0.9421,0.8817,84
10,504,0.875,0.9197,0.8541,82
11,283,0.9105,0.9351,0.8904,94
12,867,0.9105,0.913,0.895,109
13,644,0.9307,0.9388,0.8984,84
14,692,0.924,0.9305,0.9159,109
15,97,0.9206,0.9317,0.8975,70
16,123,0.902,0.9079,0.8678,76
17,35,0.8885,0.895,0.868,77
18,667,0.9223,0.9259,0.9177,102
19,386,0.9291,0.9378,0.9217,96
20,65,0.9307,0.9459,0.9333,88
21,95,0.924,0.9425,0.8928,95
22,25,0.9274,0.9313,0.9048,88
23,249,0.9054,0.9185,0.891,121
24,570,0.9037,0.9176,0.8721,79
25,386,0.9155,0.9472,0.9074,107
26,400,0.9291,0.9422,0.9117,108
27,684,0.9037,0.9167,0.8772,76
28,724,0.9054,0.9154,0.8764,96
29,233,0.9223,0.9354,0.8882,95
30,626,0.9426,0.9622,0.9338,111
31,380,0.9206,0.9484,0.9362,123
32,964,0.9054,0.9241,0.8883,71
33,876,0.9088,0.9175,0.8773,83
34,99,0.897,0.9234,0.909,87
35,546,0.9307,0.9443,0.9294,103
36,580,0.9324,0.928,0.927,117
37,856,0.9223,0.9015,0.9136,81
38,468,0.8885,0.9033,0.8778,81
39,986,0.9122,0.9226,0.8903,91
40,803,0.9088,0.9186,0.9033,96
41,592,0.9139,0.9241,0.9135,132
42,759,0.9206,0.9326,0.8826,131
43,950,0.9139,0.9314,0.9245,93
44,865,0.9375,0.9427,0.9233,108
45,662,0.9071,0.9251,0.8971,104
46,912,0.9358,0.9729,0.9374,99
47,77,0.9172,0.9331,0.8908,113
48,152,0.924,0.9148,0.9027,91
49,754,0.9223,0.9307,0.9224,84
