run,seed,accuracy,precision,recall,early_stopping
0,231,0.8986,0.9334,0.9021,57
1,605,0.9122,0.9263,0.8938,72
2,943,0.9088,0.9023,0.9003,76
3,187,0.9324,0.9155,0.918,88
4,927,0.9088,0.9266,0.9012,76
5,615,0.9105,0.9294,0.9138,48
6,89,0.9375,0.9461,0.9146,86
7,391,0.902,0.9022,0.8955,47
8,51,0.9257,0.9478,0.9223,81
9,592,0.8986,0.9389,0.9029,49
10,238,0.9122,0.905,0.9288,48
11,199,0.8851,0.9034,0.857,61
12,531,0.9071,0.9338,0.8948,50
13,170,0.9172,0.9321,0.8947,58
14,871,0.9274,0.9274,0.8965,70
15,249,0.8902,0.8826,0.8627,64
16,137,0.897,0.899,0.9123,58
17,614,0.897,0.9161,0.8938,59
18,592,0.9003,0.9289,0.9157,74
19,260,0.9088,0.9115,0.9097,50
20,953,0.9223,0.9486,0.9185,50
21,128,0.9122,0.9175,0.8957,61
22,87,0.9139,0.9179,0.902,67
23,163,0.9071,0.9259,0.8901,53
24,422,0.9003,0.9254,0.8923,49
25,994,0.9088,0.9101,0.9005,61
26,166,0.8801,0.8887,0.8903,65
27,846,0.9223,0.9327,0.918,67
28,365,0.9071,0.9309,0.9021,71
29,473,0.9443,0.948,0.9411,115
30,885,0.9122,0.897,0.9135,59
31,777,0.897,0.8951,0.9077,77
32,493,0.9139,0.9151,0.8921,69
33,545,0.897,0.9107,0.8693,55
34,317,0.8851,0.9074,0.878,62
35,451,0.9037,0.9057,0.8961,72
36,531,0.9341,0.9328,0.9113,71
37,176,0.9071,0.8989,0.9149,74
38,892,0.8919,0.8992,0.8667,59
39,258,0.897,0.9035,0.8894,53
40,679,0.902,0.926,0.9126,63
41,164,0.924,0.9479,0.8961,95
42,826,0.9037,0.9168,0.9043,61
43,304,0.9257,0.9466,0.9186,64
44,217,0.9341,0.9108,0.9066,54
45,466,0.897,0.8777,0.875,50
46,285,0.897,0.9006,0.9061,52
47,16,0.9139,0.9258,0.8932,59
48,857,0.9071,0.9082,0.8988,53
49,662,0.9139,0.9404,0.9136,58
