run,seed,accuracy,precision,recall,early_stopping
0,119,0.9291,0.9448,0.9342,77
1,574,0.9291,0.9452,0.923,95
2,265,0.9071,0.8813,0.8828,70
3,612,0.902,0.8791,0.8705,71
4,632,0.9172,0.9216,0.898,105
5,675,0.9003,0.9116,0.8881,89
6,169,0.9071,0.909,0.9085,74
7,644,0.9358,0.9296,0.9047,112
8,561,0.8953,0.9208,0.9153,73
9,404,0.9155,0.9398,0.8916,78
10,773,0.8919,0.8981,0.8802,58
11,593,0.9257,0.9069,0.9071,108
12,564,0.9257,0.9026,0.8914,71
13,312,0.9206,0.9321,0.8911,57
14,533,0.897,0.9062,0.894,67
15,929,0.9071,0.9351,0.8966,79
16,239,0.9088,0.9137,0.9175,71
17,155,0.8986,0.9035,0.9043,69
18,453,0.9105,0.9109,0.9232,87
19,185,0.8986,0.9427,0.893,61
20,13,0.9088,0.9098,0.887,67
21,252,0.9172,0.9276,0.9181,70
22,214,0.9003,0.9055,0.8914,71
23,977,0.9139,0.9217,0.9317,62
24,64,0.9088,0.9113,0.8936,62
25,630,0.9037,0.9034,0.8966,70
26,191,0.9071,0.9413,0.9081,70
27,672,0.9274,0.947,0.914,69
28,742,0.902,0.9052,0.8932,89
29,994,0.9155,0.9226,0.9022,82
30,218,0.9054,0.9348,0.9067,62
31,652,0.9274,0.9262,0.9009,100
32,151,0.9054,0.907,0.88,86
33,771,0.9054,0.893,0.8561,71
34,431,0.9172,0.9101,0.8792,92
35,247,0.9054,0.9127,0.9042,66
36,511,0.9122,0.904,0.9011,88
37,266,0.9189,0.9079,0.8776,67
38,532,0.9071,0.927,0.8831,75
39,777,0.8986,0.9071,0.9013,88
40,217,0.9274,0.9425,0.9036,64
41,108,0.9139,0.9102,0.9107,79
42,702,0.897,0.9072,0.8813,76
43,314,0.9223,0.9444,0.9176,63
44,137,0.9003,0.921,0.8947,92
45,703,0.9003,0.9216,0.8949,56
46,64,0.9105,0.8955,0.8604,59
47,52,0.8818,0.8953,0.895,60
48,843,0.9054,0.9165,0.9204,78
49,47,0.9105,0.9225,0.8927,62
