seed,accuracy,precision,recall,ntree_limit
502,0.6588,0.6534,0.6911,32
812,0.6655,0.6778,0.6818,36
708,0.6959,0.6804,0.7487,40
984,0.6605,0.6462,0.6565,42
173,0.6875,0.6829,0.6843,44
831,0.6588,0.6518,0.6304,45
101,0.6672,0.6466,0.6792,48
915,0.6824,0.6621,0.702,47
527,0.7061,0.6976,0.7354,47
34,0.6605,0.6346,0.6511,49
127,0.7078,0.6872,0.7183,49
550,0.6807,0.6828,0.7029,51
808,0.6622,0.6638,0.6928,53
33,0.7145,0.7191,0.7418,55
803,0.6824,0.6504,0.7189,54
646,0.7247,0.7035,0.7227,55
349,0.7331,0.7372,0.7628,57
471,0.7145,0.7086,0.7231,56
197,0.7044,0.6552,0.7103,57
19,0.7179,0.6695,0.6974,56
12,0.6926,0.6747,0.7064,59
93,0.7145,0.6961,0.6857,60
921,0.7196,0.6963,0.7604,66
188,0.6909,0.6701,0.7162,69
106,0.6875,0.6732,0.6567,70
607,0.701,0.6737,0.7333,37
780,0.6858,0.6777,0.6916,38
935,0.6875,0.6716,0.7025,37
363,0.6858,0.6729,0.6943,41
561,0.6639,0.6405,0.6606,42
684,0.7027,0.6668,0.6907,44
815,0.6892,0.6474,0.6704,45
765,0.6655,0.6519,0.6813,46
654,0.6875,0.6896,0.693,46
276,0.7365,0.7204,0.7418,48
755,0.674,0.6832,0.6688,52
752,0.7213,0.6711,0.6934,53
556,0.6943,0.6986,0.7137,51
529,0.6892,0.6868,0.7032,51
120,0.7061,0.6772,0.7104,52
505,0.6554,0.6232,0.6622,57
927,0.7196,0.6856,0.7513,53
997,0.6706,0.6649,0.6881,55
541,0.6622,0.6203,0.6881,55
213,0.6689,0.6608,0.6762,55
871,0.6858,0.647,0.6936,61
385,0.7061,0.7072,0.7088,61
702,0.7145,0.6999,0.658,74
495,0.6926,0.6508,0.7099,77
890,0.7365,0.6859,0.6844,78
,0.69186,0.673922,0.69893,52.12
,0.6554,0.6203,0.6304,32
,0.7365,0.7372,0.7628,78
